gene	log2PAO1A1	log2PAO1A2	log2PAO1A3	log2PAO1B1	log2PAO1B2	log2PAO1B3	log2PAO1C1	log2PAO1C2	log2PAO1C3	log2mutSA1	log2mutSA2	log2mutSA3	log2mutSB1	log2mutSB2	log2mutSB3	log2mutSC1	log2mutSC2	log2mutSC3
PA3049_rmf_at	0.795058628	0.347787081	0.046292068	-3.553223191	-3.694750566	1.411707728	-0.370241439	-2.044983046	-2.510898214	-0.14490498	1.063296003	-0.653173961	0.139334583	1.320918122	1.228365092	2.690279472	0.442310685	0.916175729
PA1679_at	-2.468809265	-2.303538737	-2.520227766	-3.044007182	-1.079221767	-0.980995362	-2.185797178	-0.30541656	-1.428077153	0.484815008	0.234799663	0.224345997	-0.133984796	-0.325767281	-0.449940116	0.122191081	0.00162591	0.018075619
PA2462_at	-2.269133085	-1.812954026	-2.243587708	-3.521417142	-0.665766188	-2.521686255	-2.168081037	-0.737432835	-1.502188257	0.133825869	0.038191862	0.176593367	-0.333884543	-0.5659521	-0.393230978	0.396196598	-0.100705211	-0.10914408
PA3353_at	-1.848559884	-1.621670817	-1.794442818	-2.523359212	-1.203879232	-1.249362956	-2.337541825	-0.872787138	-1.901850017	1.760801238	0.829950815	2.017892327	-0.456989192	-1.180466582	-0.825511678	-0.19292432	0.038186163	-0.415071519
PA1545_at	-2.945241468	-2.834675132	-3.287292421	-3.424217666	-2.744938637	-0.406021663	-1.43063103	0.357292203	-1.824445843	0.487783322	0.163963066	0.574611434	0.221937195	0.229605757	0.426668313	0.378851812	-0.443020427	0.142024181
PA4309_pctA_at	-3.761340566	-3.298083431	-3.746579553	-3.299289049	-2.195775742	0.683366898	-2.387376578	-0.076270861	-1.732093574	0.115514758	0.760319029	0.467796671	-0.169123816	-0.145762558	-0.251981771	0.099843946	0.183632298	-0.414290429
PA4310_pctB_at	-4.14672699	-3.890222358	-3.886848749	-4.398001884	-2.913125041	-0.088518639	-3.067407644	-0.229547733	-3.74047636	0.53626918	0.811111276	0.623666295	-0.389371075	-0.358283907	-0.38227615	0.375009704	-0.397128462	-0.585499717
PA4633_at	-4.328247513	-4.001025634	-4.093413156	-3.961454068	-2.543860224	-0.196627063	-3.026268207	-0.184062627	-2.553227356	0.469982122	0.880267153	0.823721557	-0.064158707	-0.459879332	-0.341978985	-0.197923308	-0.09563595	-0.383749754
PA1095_at	-1.755742488	-1.465460681	-1.751572007	-3.316880096	-2.475093712	-1.202286446	-1.85561421	-0.226079407	-1.215107728	4.341367483	4.15628744	4.027574942	-0.164215983	-0.301349282	-0.630874114	-0.66951467	-0.337687969	-0.232210004
PA1561_aer_at	-3.78738357	-3.381364343	-3.753438076	-3.330244037	-0.304012423	-1.424336693	-2.9759428	0.04198634	-1.242362204	1.072151878	1.855917266	0.875283071	0.423280541	0.513065407	0.370832461	-0.151269663	0.107682827	0.025237927
PA4843_at	-4.848571134	-4.340037125	-3.576161054	-3.787047629	-1.98881179	-1.84956752	-2.949972519	-0.137765097	-2.711733374	-0.09393193	-0.154495548	0.009834242	0.013296322	0.279957245	-0.223820564	-0.252507662	-0.249115565	-0.47780392
PA1092_fliC_at	-6.488922496	-6.806008972	-6.970306154	-6.824780599	-5.981327287	-0.825623037	-4.818985925	-0.47119465	-4.566897232	3.45206766	4.598611286	4.243406818	-0.29031397	-0.572465658	-2.410919513	-1.323837085	-1.122015056	-1.850839534
PA1093_at	-5.568721937	-4.864481935	-4.986130754	-5.019974921	-4.244903571	-0.267830298	-4.189483093	-0.69732025	-3.401079637	1.772200298	3.417560917	3.390562725	-0.181212752	-0.535078959	-1.358379218	-0.828473699	-0.224697116	-1.031826468
PA4310_pctB_at	-4.14672699	-3.890222358	-3.886848749	-4.398001884	-2.913125041	-0.088518639	-3.067407644	-0.229547733	-3.74047636	0.53626918	0.811111276	0.623666295	-0.389371075	-0.358283907	-0.38227615	0.375009704	-0.397128462	-0.585499717
PA4633_at	-4.328247513	-4.001025634	-4.093413156	-3.961454068	-2.543860224	-0.196627063	-3.026268207	-0.184062627	-2.553227356	0.469982122	0.880267153	0.823721557	-0.064158707	-0.459879332	-0.341978985	-0.197923308	-0.09563595	-0.383749754
PA1095_at	-1.755742488	-1.465460681	-1.751572007	-3.316880096	-2.475093712	-1.202286446	-1.85561421	-0.226079407	-1.215107728	4.341367483	4.15628744	4.027574942	-0.164215983	-0.301349282	-0.630874114	-0.66951467	-0.337687969	-0.232210004
PA1561_aer_at	-3.78738357	-3.381364343	-3.753438076	-3.330244037	-0.304012423	-1.424336693	-2.9759428	0.04198634	-1.242362204	1.072151878	1.855917266	0.875283071	0.423280541	0.513065407	0.370832461	-0.151269663	0.107682827	0.025237927
PA4843_at	-4.848571134	-4.340037125	-3.576161054	-3.787047629	-1.98881179	-1.84956752	-2.949972519	-0.137765097	-2.711733374	-0.09393193	-0.154495548	0.009834242	0.013296322	0.279957245	-0.223820564	-0.252507662	-0.249115565	-0.47780392
PA3349_at	-2.48103696	-2.894529918	-3.295033337	-3.02374617	-1.678967075	-0.412986819	-2.229527684	-0.782149457	-1.748605659	0.20830031	0.455285017	-0.170383364	0.100259461	0.044371027	-0.102290881	0.359890658	-0.238107938	0.045478336
PA4326_at	-2.657147059	-2.864723157	-3.026045113	-3.41522081	-0.877205648	-2.013696933	-1.666926382	-0.754847734	-1.320054835	0.353106488	0.371325884	0.553458126	-0.250712455	-0.286490918	-0.088509089	0.420098184	-0.284680271	-0.528545704
PA3722_at	-2.964184984	-2.451994026	-3.038696148	-3.282865219	-1.332740522	-2.242434986	-1.687726313	-1.054825635	-1.791370954	0.033296786	-0.354267019	-0.214982069	0.438335365	0.098481116	-0.555116088	0.195801185	-0.03616108	-0.680872389
PA1913_at	-2.447009722	-1.828099155	-2.294828582	-1.477686716	-1.888535939	-0.538217961	-1.298382668	-0.253647963	-1.676650356	-0.188369828	-0.121777337	0.279895675	0.144670586	-0.001850914	0.287310188	0.171247584	-0.024712176	0.107110805
PA0998_at	0.287825577	0.078434815	-0.51270245	-1.830590758	-4.452369617	0.753261519	-0.811682414	-0.623538782	-2.196510129	-0.050319071	-0.31764667	0.764213601	0.335745885	0.886938918	2.344162869	0.461741125	-0.141290776	0.636223142
PA3352_at	-1.272781029	-1.250873132	-1.45557367	-2.086516821	-0.50383124	-1.032798335	-1.919534982	-0.66622334	-1.354058633	1.596842157	1.402404881	1.291891794	-0.406160208	-0.533595756	-0.550555429	-0.044420832	-0.075324914	-0.236359534
PA5354_glcE_at	-0.611676186	-1.305591917	-1.851717544	-1.95933992	-2.730583813	-0.349927875	-0.161257619	-1.022001799	-0.939203305	0.069398568	0.146310412	-0.226226963	-0.278425609	0.469885594	0.7355492	1.884285442	-0.168663139	0.17682481
PA0999_fabH1_at	0.424584464	0.335411575	-0.327081451	-1.869752878	-3.846174554	0.375256246	-0.815750256	-0.648666475	-2.095487206	0.447712697	-0.370859845	1.087744581	0.228585112	0.953882037	2.065171131	0.297691484	-0.318562036	0.726818097
PA2867_at	-3.247526802	-2.796281482	-3.029754248	-2.613240342	-1.195580541	-0.366485	-2.127593846	-0.018084034	-1.671031161	0.09741284	0.325122322	0.246341979	0.565072239	-0.037167502	0.099808185	-0.735025989	0.306821285	0.190747714
PA1096_at	-1.913996103	-1.703582609	-2.034967771	-3.241082693	-2.640430906	-0.853899945	-2.322915972	-0.181333178	-1.512662856	3.770570317	3.662569357	3.577350713	-0.566611854	-0.480495663	-0.902467031	-0.431586809	-0.485084196	-0.396068636
PA3526_at	-3.877207572	-3.089966935	-3.539508732	-3.464401428	-1.40997434	-1.321321864	-3.286656709	-0.83363037	-1.599228142	0.588834228	0.700798821	1.0566897	-0.004479605	-0.288396316	-0.27489541	0.128287879	0.083760185	-0.534945383
PA4133_at	0.14517248	-0.168826768	-0.854194107	-5.443809126	-2.791816477	0.361503224	1.308788664	-2.421043327	-0.528492728	-0.052764791	0.468503524	0.51006695	-2.25202147	-1.193168549	0.05091976	1.527287638	-0.517262049	0.171858674
PA0170_at	-0.761657799	-0.640955783	-0.334058623	-1.618534284	-1.983137935	0.234104268	-0.379543847	1.271559549	-3.836951501	0.078137143	0.164780607	0.191145293	-0.165321022	-0.053822437	0.339586761	0.495134138	0.176023056	-0.106377887
PA1664_at	-0.164532386	-0.650409465	-0.924386252	-5.521213664	-2.278084787	-0.176242715	-0.002676874	0.671099135	-1.579858789	-0.02330067	-0.2616832	0.167371741	-0.597889326	-0.075781956	0.080753924	0.199981757	-0.326818591	-0.566041794
PA1087_flgL_at	0.043750948	0.062326747	-0.207021035	0.227934963	-1.277491751	-0.425641	0.218745937	-0.345498867	0.700568581	4.341733764	2.964994717	2.450945048	0.390854537	0.170304382	0.143039899	-0.463490303	-0.987471701	-0.642801949
PA1888_at	-0.067543047	-0.566463676	-0.407071189	-1.20298576	-4.374090922	2.580332999	-0.57912018	-0.613313264	-3.504195946	0.159812894	0.128327635	0.105808881	-0.109744327	-0.168480477	-0.021926163	0.886276407	-0.094540848	-0.265761707
